place_id,place_name,category_name,category_group,address_name,road_address_name,phone,place_url,x,y,search_context,main_category
799001769,성수베이킹스튜디오,"음식점 > 간식 > 제과,베이커리",음식점,서울 성동구 성수동1가 668-123,서울 성동구 서울숲2길 46,02-468-0789,http://place.map.kakao.com/799001769,127.04375872148697,37.54618518238096,맛집,음식점
940053669,로우커피스탠드,음식점 > 카페,카페,서울 성동구 성수동1가 8-16,서울 성동구 왕십리로4길 28-2,010-4334-2387,http://place.map.kakao.com/940053669,127.04663357436208,37.54715716085294,맛집,음식점
611079689,메시,음식점 > 일식,음식점,서울 성동구 성수동1가 14-47,서울 성동구 상원2길 3,02-461-1121,http://place.map.kakao.com/611079689,127.049369033212,37.5459901562643,맛집,음식점
487665317,미테이블 성수본점,음식점 > 양식,음식점,서울 성동구 성수동1가 656-385,서울 성동구 왕십리로8길 5,02-461-0089,http://place.map.kakao.com/487665317,127.045286584884,37.5465359959002,맛집,음식점
1057053940,차만다 서울숲점,음식점 > 양식,음식점,서울 성동구 성수동1가 685-480,서울 성동구 서울숲2길 28-12,02-6448-0812,http://place.map.kakao.com/1057053940,127.041413159969,37.5466040918188,맛집,음식점
1434008249,카모플라쥬,음식점 > 카페,카페,서울 성동구 성수동1가 656-703,서울 성동구 아차산로1길 9,010-5350-1530,http://place.map.kakao.com/1434008249,127.04568413998196,37.54898655935269,맛집,음식점
1791652938,더마틴,"음식점 > 간식 > 제과,베이커리",음식점,서울 성동구 성수동1가 685-496,서울 성동구 서울숲2길 8-7,02-738-2299,http://place.map.kakao.com/1791652938,127.03959499679632,37.54720478073687,맛집,음식점
780776735,이태리국시 성수,음식점 > 양식,음식점,서울 성동구 성수동1가 656-1085,서울 성동구 왕십리로8길 18-1,02-464-0950,http://place.map.kakao.com/780776735,127.046723416911,37.5460579066554,맛집,음식점
1136796720,홍성집,음식점 > 한식,음식점,서울 성동구 성수동1가 656-939,서울 성동구 왕십리로5길 12,0507-1467-1582,http://place.map.kakao.com/1136796720,127.04436461083,37.5470066673147,맛집,음식점
1793286778,바스버거 성수점,음식점 > 양식 > 햄버거 > 바스버거,음식점,서울 성동구 성수동1가 656-1075,서울 성동구 왕십리로8길 16,02-464-6674,http://place.map.kakao.com/1793286778,127.046295736709,37.5461571849968,맛집,음식점
918469508,화로양미,"음식점 > 한식 > 육류,고기 > 갈비",음식점,서울 성동구 성수동1가 13-165,서울 성동구 상원4길 9,070-7818-8886,http://place.map.kakao.com/918469508,127.049677691514,37.5472946732279,맛집,음식점
1483073499,빠오즈푸 서울숲점,음식점 > 중식,음식점,서울 성동구 성수동1가 656-1082,서울 성동구 왕십리로6길 13,02-499-9256,http://place.map.kakao.com/1483073499,127.04620282598933,37.54596260560189,맛집,음식점
1541295175,취월당,음식점 > 중식 > 중국요리,음식점,서울 성동구 성수동1가 656-1043,서울 성동구 왕십리로10길 5,02-6958-8528,http://place.map.kakao.com/1541295175,127.045222415244,37.5470847288127,맛집,음식점
16471967,성수아구찜탕,"음식점 > 한식 > 해물,생선 > 아구",음식점,서울 성동구 성수동1가 656-318,서울 성동구 왕십리로4길 10,02-465-4346,http://place.map.kakao.com/16471967,127.0458699022966,37.54557710780354,맛집,음식점
27373628,할머니의레시피,음식점 > 한식,음식점,서울 성동구 성수동1가 668-108,서울 성동구 서울숲2길 44-12,02-467-5101,http://place.map.kakao.com/27373628,127.0430865478504,37.54617281557421,맛집,음식점
1493852185,온량,음식점 > 양식 > 이탈리안,음식점,서울 성동구 성수동1가 668-54,서울 성동구 서울숲4길 26-10,02-6403-3643,http://place.map.kakao.com/1493852185,127.043440031512,37.5469079011998,맛집,음식점
